parent,candidate,path,method,before_line,after_line,status,evidence,disposition
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static parseLrc(Ljava/lang/String;)Ljava/util/List;,0,821,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static readAll(Ljava/io/InputStream;)Ljava/lang/String;,0,1056,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static renderCurrentLine()V,0,1105,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static selectSyncedLyrics(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,0,1304,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,private static setCardText(Ljava/lang/String;)V,0,1392,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,public static onMetadataChanged(Landroid/content/Context;Ljava/lang/String;Landroid/media/MediaMetadata;)V,0,450,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,public static onPlaybackStateChanged(Landroid/content/Context;Landroid/media/session/PlaybackState;)V,0,457,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,public static onSessionEvent(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)V,0,569,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,public static onTrackChanged(Landroid/content/Context;Ljava/lang/String;Ljava/lang/String;)V,0,576,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static constructor <clinit>()V,0,54,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$000()V,0,123,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$100()Ljava/lang/Object;,0,132,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$1000()Ljava/lang/Runnable;,0,141,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$1100()Landroid/app/Activity;,0,150,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$200()Z,0,161,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$300()Ljava/util/List;,0,170,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$302(Ljava/util/List;)Ljava/util/List;,0,179,PENDING_REVIEW,,
zhiui-final-v2.apk,zhiui-final-v3.11-lyrics-click-music-app-r1.apk,smali/com/byd/launcher/NeteaseLyricsBridge.smali,static synthetic access$400()Landroid/os/Handler;,0,188,PENDING_REVIEW,,
